firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Agrargenossenschaft Lemnitztal eG,Oberlemnitz 2,07356,Bad Lobenstein,POINT (50.4844518 11.6078022),03665188223,,,,,,,,,,
Agrargesellschaft Pfiffelbach mbH,Willerstedter Straße 1,99510,Ilmtal-Weinstraße / ,POINT (51.063363249999995 11.442275001355487),03646293121,,,,,,,,,,
Agrargesellschaft Griesheim mbH,Kleppergasse 1,99326,Stadtilm,POINT (50.7528279 11.0442801),03629-802383,,,,,,,,,,
Agrofarm Knau eG,An der Bahn 4,07389,Knau,POINT (50.65285395 11.712405415254056),036484-6700,,,,,,,,,,
Landwirtschaftsbetrieb Jürgen Junghannß,Im Rittergut 1,04656,Schwanditz,,03447-315311,,,,,,,,,,
Landschaftspflege Agrarhöfe GmbH &amp; Co. KG Kaltensundheim,Mittelsdorfer Straße 23,36452,Kaltennordheim ,POINT (50.60754785 10.15500855),036946-2170,,,,,,,,,,
Pahren Agrar Verwaltungs- u. Vermarktungs GmbH &amp; Co. KG,Hainweg 11,07937,Zeulenroda,POINT (50.6447065 11.90098605),036628-69811,,,,,,,,,,
Bürgel GbR,Dielsdorfer Weg 4,99195,Eckstedt,POINT (51.0719244 11.1466303),03637152290,,,,,,,,,,
Agroprodukt Sonneberg eG,Sichelreuther Strasse 8,96524,Föritz ,POINT (50.3130011 11.206505307650696),0367647950,,,,,,,,,,
Terra Sömmerda GmbH,Erfurter Höhe 42,99610,Sömmerda,POINT (51.1484878 11.1233227),03634314780,,,,,,,,,,
Agrarprodukte Schwabhausen eG,Wechmarer Straße 57,99869,Schwabhausen,POINT (50.8898342 10.740355),036256-2320,< 2000,,< 500,,,,,,,
Agrargenossenschaft Wörlitz eG,Griesener Straße 33,06785,Oranienbaum-Wörlitz,POINT (51.8401597 12.374208),0349054150,,,,,,,,,,
Agra GmbH Frohndorf/Orlishausen,Sömmerdaer Straße 43,99610,Sömmerda ,POINT (51.1620638 11.1825106),036343-5590,,,,,,,,,,
"Agrargenossenschaft ""Am Ohmberg"" eG ",Neue Strasse 21a,37345,Bischofferode - Gem. am Ohmberg,,03607729108,,,,,,,,,,
Agrargenossenschaft eG Klein Schwechten,Wiesengrund 17,39579,Klein Schwechten,POINT (52.70535805 11.840986783737865),03938828210,,,,,,,,,,
Agrargenossenschaft eG Pretzsch,Wittenberger Straße 44,06905,Bad Schmiedeberg,POINT (51.7185962 12.8004946),03492657312,,,,,,,,,,
Agrarprodukte eG Rottdorf,Blankenhainer Straße 2,99444,Rottdorf,POINT (50.8548634 11.3612533),03645962354,,,,,,,,,,
"Bauernhof ""Zur Klus"" GmbH",Gübser Weg 1,39175,Menz,POINT (52.1153131 11.7559889),039292699082,,,,,,,,,,
Landwirtschaftliche Genossenschaft Windberge eG,Dorfstraße 23,39579,Windberge,POINT (52.5216875 11.7171869),039361366,,,,,,,,,,
Fahner Obst eG,Große Hecke 2,99100,Gierstädt,POINT (51.0433079 10.823091430098303),0362062610,,,,,,,,,,
Witterdaer Agrar GmbH,Bahnhofstraße 226 B,99189,Witterda,POINT (51.037931 10.8922183),03620185267,,,,,,,,,,
Agrar GmbH &amp; Co.KG Ermstedt,Zimmernsupraer Straße 1,99092,Ermstedt,POINT (50.969525 10.8831034),036208-70305,,,,,,,,,,
Landmaschinen- u. Kfz-Handel Starkenberg GmbH,Schmöllnsche Straße 3,04617,Starkenberg,POINT (50.9858871 12.3135478),0344844190,,,,,,,,,,
KFG GmbH,Schulgasse 178d,99628,Guthmannshausen,POINT (51.1369111 11.3678295),0363739930,,,,,,,,,,
Aue-Milch GmbH,Schulgasse 178d,99628,Guthmannshausen,POINT (51.1369111 11.3678295),0363739930,,,,,,,,,,
Landwirtschaftsbetrieb Ullrich Keil ,Battgendorfer Straße 16,99625,Kölleda,POINT (51.1905863 11.2511984),,,,,,,,,,,
Agrar T &amp; P GmbH Mockzig,Prisselberger Straße 5,04600,Altenburg,POINT (50.9311712 12.4707288),03449480471,,,,,,,,,,
Baumgärtel GbR,Quedlinburger Weg 1,38828,Wegeleben,,039423-6016,< 2000,,,,,,,,,
Kaufmann Landwirtschaft GbR,Birkenhof 1,74915,Waibstadt,POINT (49.291696 8.863745495374964),0726162733,,,,,,,,,,
agrar GmbH Mönchenholzhausen,Erfurter Straße 12,99428,Grammetal,POINT (50.96886 11.1584903),036203-50177,< 500,,< 500,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Südzucker AG/Hofgut Friemar,Windmühlenstraße 29,99869,Friemar,POINT (50.9752189 10.7909083),036258-50223,< 500,,,,,,,,,
Agrarunternehmen Pfersdorf e.G.,Pfersdorfer Hauptstraße 37,98646,Hildburghausen,POINT (50.4186451 10.6700005),03685707011,< 2000,,< 2000,,,,,,,
Agrar e.G. Heberndorf,Heberndorf 100,07343,Wurzbach,POINT (50.485903 11.5171202),0366523500,< 500,,,,,,,,,
Rinderhof Agrar GmbH Seubtendorf,Seubtendorf 101,07922,Tanna,POINT (50.4773027 11.8078207),03664622226,< 2000,,< 500,< 50,,"<span class=""textformatter-list"">Biogas</span>",,,,
Köhler GbR,Hauptstraße 38,99735,Werther,POINT (51.50408265 10.718334924754972),03631600052,,,,,,,,,,
Agrarproduktion Zorgeland GmbH,Hinterm Dorf 1,99765,Windehausen,,03633367413,,,,,,,,,,
Pohle Agrar GbR,Gartenweg 2,04603,Göhren,POINT (54.34435035 13.738027265536724),03447502289,,,,,,,,,,
"Agrargenossenschaft ""Altenburger Land"" Dobitschen eG",Landstraße 7,04626,Schmölln ,POINT (50.928703150000004 12.322401245579961),034491-5470,,,,,,,,,,
Agrar-Genossenschaft ELBELAND eG,Scharlibbe,39524,Klietz,POINT (52.6947114 12.0688565),039327-9820,< 2000,,< 500,< 100,,,,,,
"Agrargenossenschaft ""Drei Gleichen"" Mühlberg e.G.",Gothaer Straße 37,99869,Drei Gleichen ,POINT (50.8686439 10.8160159),03625620248,,,,,,,,,,
Agrargenossenschaft Goldbach e.G.,Oberer Goldbacher Weg 2,99869,Nessetal,POINT (50.9989693 10.68322715221829),036255-80304,< 2000,,< 2000,,,,,,,
Agrargenossenschaft Nöbdenitz eG,An der Lohmaer Kirche 6,04626,Schmölln / ,POINT (50.8837909 12.290366),03449622241,,,,,,,,,,
Agrar GmbH Trebnitz,Trebnitz 66,07554,Gera,POINT (50.8966154 12.1276386),03449622241,,,,,,,,,,
AU Wöllmisse Schlöben eG,Rausdorfer Straße 10,07646,Stadtroda,POINT (50.8671999 11.6942609),036428-55167,,,,,,,,,,
Landwirtschafts GmbH Ifta,Bahnhofstraße 80,99831,Creuzburg,POINT (51.0524373 10.2435944),03692682255,,,,,,,,,,
Landwirtschaftsbetrieb Detmar Naundorf,Großtauschwitz 11,04626,Schmölln / Altkirchen,POINT (50.944131299999995 12.329742741452208),0177-3726331,< 500,,< 50,,,,,,,
Landwirtschaft Leimbach Betriebsgesellschaft mbH,Pfarrholz,99934,Nordhausen ,,03633360150,,,,,,,,,,
Agrarproduktion Urbach GmbH,Oberfeld 10a,99765,Urbach,POINT (51.4830411 10.903334),03633360151,,,,,,,,,,
Landgenossenschaft Oppurg eG,Orlagasse 40,07381,Oppurg,POINT (50.712104 11.6503109),03647413523,,,,,,,,,,
Agrargenossenschaft Rückersdorf eG,Am Brand 6,07580,Rückersdorf,POINT (50.821104899999995 12.222337006260563),03660253016,,,,,,,,,,
Agrargenossenschaft Thonhausen eG,Dorfstraße 23,04626,Wettelswalde,POINT (50.8495284 12.3097072),03449622472,,,,,,,,,,
Kriebitzscher Agrargenossenschaft eG,Altenburger Straße 29,04617,Kriebitzsch,POINT (51.0318206 12.3312901),034483621,< 2000,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Agrargenossenschaft Kauern eG,Kaimberger Straße 2,07554,Kauern,POINT (50.8443943 12.1435199),036602-5980,,,,,,,,,,
Agrar GmbH Greußen,Grüninger Straße 1,99718,Greußen,POINT (51.2314295 10.9597528),0363675060,,,,,,,,,,
Agrargenossenschaft Bösleben,Ettischlebener Weg 19,99310,Bösleben-Wüllersleben,POINT (50.8258211 11.0563733),036200-67714,,,,,,,,,,
Agrargenossenschaft Heringen eG,Großer Riethweg 3,99765,Heringen/Helme ,POINT (51.446392 10.8898173),036333-7700,< 2000,< 50,< 500,,,,< 10,,,
Universal-Agrar GmbH,Friedrich-Neumeyer-Straße 7,99095,Erfurt ,POINT (51.0423394 11.0069159),0361-7420760,,,,,,,,,,
Agrargenossenschaft Niederpöllnitz eG,Pappelallee 7,07570,Harth-Pöllnitz ,POINT (50.7547821 11.9557603),036607-5100,,,,,,,,,,
Agrargesellschaft Friedrichsthal mbH,Dorfstraße 57,99735,Friedrichsthal,POINT (53.1547412 14.346946),0363374210,,,,,,,,,,
Landwirt Joachim Becker,Hauptstraße 43,99735,Werther,POINT (51.4741798 10.742432362742235),03631601217,,,,,,,,,,
Agrargenossenschaft Reinstädt eG,Am Geunitzer Weg 1,07768,Reinstädt,,036422-22228,,,,,,,,,,
Erzeuger-Genossenschaft Neumark eG,Vor dem Obertore 160,99439,Neumark,POINT (51.078681 11.2461779),0364527820,,,,,,,,,,
Agrargenossenschaft Reichenhausen eG,Auf dem Elm 4,98634,Erbenhausen ,POINT (50.5826595 10.1338923),03694-630205,< 2000,,< 2000,< 50,,,,,,
LWB Matthias Gruschwitz,Ortsstraße 18a,07987,Mohlsdorf,POINT (50.673294049999996 12.300031187577169),03661432823,,,,,,,,,,
LWB Gerhard Achilles,Karl-Marx-Straße 12,39279,Ladeburg,POINT (52.0843358 11.9376639),,,,,,,,,,,
Agrar GmbH Ziegelheim,August-Bebel-Straße 1c,04603,Nobitz ,POINT (50.919874050000004 12.550074606758225),034494-87236,< 2000,,< 100,,,,,,,
Rinder und Pferdehof Köber,Merkendorf 41,07950,Zeulenroda-Triebes,POINT (50.6908004 11.974008360878555),036628-69815,,,,,,,,,,
Lawo Agrar GmbH Pahren,Hainweg 11,07937,Zeulenroda-Triebes,POINT (50.6447065 11.90098605),0366286980,,,,,,,,,,
Agrarproduktion Goldene Aue GmbH Görsbach,Alte Straße 356,99765,Görsbach,POINT (51.4652807 10.9367595),036333-70284,,,,,,,,,,
Agrargenossenschaft Linda eG,Rückersdorfer Straße 1,07580,Linda,POINT (50.8085661 12.1992064),036602-22428,,,,,,,,,,
"Agrargenossenschaft ""Drei Eichen"" eG",Mückernscher Weg 7,07554,Korbußen,POINT (50.8934345 12.1705703),036602/22638,< 2000,,< 50,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschaftsbetrieb Matthias Winzer,Vor dem Obertore 5,99198,Udestedt,POINT (51.0454017 11.1301929),03620351004,< 500,,,,,,,< 50,,
Teichwolframsdorfer Agrar GmbH,Hauptstraße 53a,07987,Mohlsdorf,POINT (50.71778505 12.242030450000005),03662420204,< 2000,,< 500,< 50,,,,,,
GbR Wetzdorf,Wetzdorf 64,07619,Schkölen,POINT (51.003009 11.7636933),03669422862,< 2000,,< 50,< 50,,,,,,
Eckhard Hinrichs,Dorfstraße 13,29559,Wrestedt/Wieren,POINT (52.8821088 10.6545483),05825259,< 500,,,< 50,,,,,,
Untergut Grabow,Untergut Grabow,29439,Lüchow,,058648066,< 500,,< 50,< 500,,,,,,
"Agrargenossenschaft ""Ilmtal"" eG",Escheroder Straße 1,99518,Niedertrebra,,03646128826,,,,,,,,,,
Pahren Agrar Vermarktungs GmbH &amp; Co Mutterkuh und Mast KG,Silberfelder Hauptstraße 4,07937,Zeulenroda-Triebes,POINT (50.674251 11.9602288),0366286980,,,,,,,,,,
PAMIL GmbH &amp; Co. KG ,Hainweg 11,07937,Zeulenroda-Triebes,POINT (50.6447065 11.90098605),03662869818,,,,,,,,,,
LWB Jörg Vonhof,Mühlhof 1,99638,Frömmstedt,POINT (51.2628901 11.0452922),03637564041,< 2000,,< 50,,,,,,,
LWB Klaus Heinemann,Am Hopfgarten 10,99310,Witzleben,POINT (50.8256315 11.1114575),,,,,,,,,,,
AGG Agrargenossenschaft eG Großenstein,Am Bahnhof 10,07580,Großenstein,POINT (50.90167305 12.20606003529695),036602-22443,< 2000,,< 50,,,,,,,
Agrarbetrieb Münnighoff,Mühlstraße 83a,99628,Buttstädt,POINT (51.1128648 11.3166221),,,,,,,,,,,
Nibelungen-Hof,Lache 3,68623,Lampertheim,POINT (49.6238431 8.4362619),06206-944721,,,,,< 100,,,,,
Landgut Weimar eG,Am Feldrain 2,99428,Weimar-Holzdorf,POINT (50.941770399999996 11.274629899999999),03643-849275,< 2000,,< 100,,,,,,,
Landwirtschaftsbetrieb Jürgen Beukert,Bechstedter Straße 13,99097,Erfurt / Egstedt,POINT (50.9183314 11.0520953),03613460202,,,,,,,,,,
Agrar GmbH Frienstedt,Dietendorfer Straße 23,99092,Erfurt,POINT (50.9528386 10.9075045),03620870386,,,,,,,,,,
Agrargenossenschaft Schwerstedt eG,Schleifweg,99634,Schwerstedt,POINT (51.1557235 10.9217619),03637-660310,,,,,,,,,,
Agrargenossenschaft Moorgrund eG,Burggraben 22,36433,Bad Salzungen,POINT (50.8221231 10.2862603),03695-85700,< 2000,,< 2000,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
Erzeuger-Genossenschaft Weimar-Kromsdorf e.G.,Süßenborner Weg 40a,99510,Ilmtal-Weinstraße,POINT (50.9962412 11.3791328),03643-420355,> 2000,,< 100,,,"<span class=""textformatter-list"">Photovoltaik</span>",< 10,,,
Landwirtschaftsbetrieb Herbst,Lützelbucherstrasse 15,96237,Ebersdorf,POINT (50.2478049 11.0516748),,,,,,,,,,,
Alpers-Klinckhamer/Alpers GbR,Dörpstraat 17,23758,Neuratjensdorf,POINT (54.341538 10.970222),04362504429,< 500,,,,,,,,,
Wipperau GbR,Molzener Kirchstraße 11,29525,Uelzen,POINT (53.0047132 10.6057367),058144024,< 500,,,,,,,,,
Tegeler Neuenmarhorst,Bramenbusch 4,27239,Twistringen,POINT (52.7938089 8.588502850000001),0424395374,< 500,,,,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Jan-Frederik Schröder,Twiete 1,29581,Bohlsen,POINT (52.9627608 10.456544573376624),05808284,,,,,,,,,,
Klaus u. Karsten Wist GbR,Hollerdeich 41,21737,Wischhafen,POINT (53.7895369 9.3116909),047707602,,,,,,,,,,
Hartmut Brunkhorst,Schöttlingen 2,31698,Lindhorst,POINT (52.34809665 9.278559461035748),05725340,,,,,,,,,,
Familie Wohlers,Strichweg 1,27637,Nordholz,POINT (53.7849698 8.5599974),,,,,,,,,,,
Albert Wiese,Binghäuser Dorfstraße 15,27239,Twistringen,POINT (52.812851949999995 8.656731711918113),,,,,,,,,,,
Arend Meyer,Sulinger Straße 105,27305,Bruchhausen-Vilsen,POINT (52.8214796 8.9820645),042521890,,,,,,,,,,
Henning Ehlers KG,Wedeler Hauptstraße 72,21717,Fredenbeck-Wedel,POINT (53.5005412 9.402174400000002),,< 100,,,,,,,,,
Egbert Storck,Sieler Weg 202,32130,Enger,POINT (52.1627407 8.548884908737863),052242391,,,,,,,,,,
Bernhard Förster,Wapelstraße 20,33397,Rietberg,POINT (51.839876200000006 8.41480721562278),052442224,,,,,,,,,,
Giere GbR,Bargdorfer Straße 14,29553,Bienenbüttel,POINT (53.1188117 10.4959787),058239569681,< 2000,,< 50,< 100,,,,,,
Agrargenossenschaft Jückelberg eG,Pappelstraße 8,04603,Nobitz,POINT (50.9263017 12.6279856),034497-78413,,,,,,,,,,
LWB Carsten Kröber,Kirschweg 11,04617,Starkenberg /,POINT (50.971727200000004 12.283202154231937),03449581560,,,,,,,,,,
Landwirtschaftsbetrieb Georg Misselwitz,An den Höfen 4,04626,Schmölln ,POINT (50.916138000000004 12.314030002244214),034491-80802,,,,,,,,,,
Jörg Nitzsche,Taupadel 13,04603,Saara /Thüringen,,03449330639,,,,,,,,,,
Agrar GmbH Kapellendorf,Am Burggraben,99510,Kapellendorf,POINT (50.9776479 11.4659167),036425-22208,,,,,,,,,,
Agrarunternehmen am Leinawald,Gärtnerweg 5,04618,Langenleuba-Niederhain,POINT (50.9575758 12.6091346),03449-778210,,,,,,,,,,
Gutsverwaltung Altenburg GbR,Prisselberger Straße 11,04600,Altenburg-Mockzig,POINT (50.9320206 12.4688833),03449480941,< 500,,< 50,,,,,,,
Landwirtschaftsbetrieb Anton Riedl,Domäne Lautenbach,37287,Wehretal,POINT (51.1226661 10.0645954),05659343,< 500,,< 50,,,,,,,
Gut Wensin,Am Gutshof 1,23827,Wensin,,04559-7573035,< 2000,,< 100,< 500,,,,,,
Landwirtschaftsbetrieb e.G. Selbitz,An der Milchviehanlage,06901,Kemberg,,034928-20236,> 2000,,< 500,,,,,,,
"Holsteiner Land und Marktfrucht KG, Olaf Stammer",Alt Rensefeld 30,23611,Bad Schwartau,POINT (53.92177685 10.678417427406306),04512801302,< 500,,,< 50,,,,,,
Land- und Forstwirtschaft Johann Knabbe,Hof Forstkamp 1,21717,Fredenbeck,,041497368,< 100,,,< 50,,,,,,
Agrargenossenschaft Großrudestedt e.G.,Kleinrudestedter Straße 13,99195,Großrudestedt,POINT (51.0890774 11.1044872),0362046460,,,,,,,,,,
Gut Großröda,Rositzer Straße 7,04617,Starkenberg,POINT (50.9963954 12.321581991829914),034483558,,,,,,,,,,
Landwirtschaftlicher Betrieb Wieland Schleich,Ortsstraße 18,07554,Bethenhausen,,03669520749,,,,,,,,,,
Agrarunternehmen Immenrode GmbH,Heerstraße 31a,99706,Sondershausen,POINT (51.3468924 10.9321733),03632-782463,< 2000,,,,,,,,,
Glücksburg Agrar e.G.,Zwuschen Nr. 4,06917,Jessen Elster,POINT (51.813398 13.0429138),03538430610,< 2000,,< 2000,< 50,,,,,,
Landwirtschaftlicher Nebenerwerbsbetrieb Udo Gabler,Neuer Weg 8,04617,Kriebitzsch,POINT (51.02391205 12.329970244086962),,,,,,,,,,,
AGH Agrargesellschaft Herpf mbH,Rippershäuser Straße 16,98639,Rippershausen,POINT (50.6034085 10.3579129),03693-505080,,,,,,,,,,
Agrargenossenschaft Schmalkalden-Schwallungen EG,Asbacher Weg 14,98574,Schmalkalden,POINT (50.71957895 10.48426878568355),03683-608561,< 2000,,< 2000,,,,,,,
Landwirtschaftsbetrieb Rico Kirmse,Dobra 13,04626,Schmölln,POINT (50.917373600000005 12.261542012084458),034495-818968,,,,,,,,,,
Agrargenossenschaft Neuzelle eG,Lindenpark 1,15898,Neuzelle,POINT (52.0923194 14.6325006),033652251,> 2000,,< 2000,,,,,,,
Landwirtschaftsbetrieb Andreas Kluge,Meucha 7,04626,Dobitschen,POINT (50.9426445 12.2944031),03449570604,,,,,,,,,,
Gönnatal- agrar eG,Gönnabach 1,07778,Lehesten ,POINT (50.9817753 11.5688005),0364255550,> 2000,,< 500,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Landwirtschaftliche Erzeugergemeinschaft Berkau eG,Wartenberger Dorfstraße 23,39629,Bismark (Altmark),POINT (52.6382918 11.5119805),039089-41001,< 2000,,< 500,,,,,,,
 Jens Hartig Landwirtschaftsbetrieb,Seehof / Mühlstraße 83B,99628,Buttstädt,,03645161200,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Peter Vollmers,Alte Dorfstraße 56,21684,Stade,POINT (53.5823009 9.4205606),04141-81262,< 100,,< 50,< 50,,,,,,
Bent Beckmann,Hollerdeich 45,21737,Wischhafen,POINT (53.7915951 9.3093896),,,,,,,,,,,
Hermann Grodtmann,Faulenhofe - West - 2,21730,Balje,POINT (53.8275731 9.1196388),047538271,,,,,,,,,,
Thomas Tiedemann,Bentwisch 1,21787,Oberndorf,POINT (53.7540357 9.1496205),04772861004,,,,,,,,,,
Inga Wienbarg,Faulenhofe-West 1,21730,Balje,POINT (53.8275731 9.1196388),,< 100,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Thorsten Gerken,Zum Dorfe 5a,27628,Hagen im Bremischen ,POINT (53.3304101 8.7105239),,,,,,,,,,,
Henning Schmidt Geflügelmast KG,Hof Heidstücken 1,27607,Debstedt/Langen,,047439132001,,,,,,,,,,
Öko-Betriebe Nottleben,Im Flattich 6,99192,Nottleben,POINT (50.9658951 10.8489998),03620879606,,,,,,,,,,
ERVEMA agrar Gesellschaft Wöhlsdorf mbH,Staitzer Dorfstraße 44,07955,Auma-Weidatal,POINT (50.71823565 11.989047778674415),036622-83510,,,,,,,,,,
FERMILA GmbH &amp; Co.KG,Waldenburger Straße 1a,08396,Waldenburg /,POINT (50.889688 12.582035023244838),03760822418,< 2000,,< 100,< 50,,,,,,
Landwirtschaftliche Aktiengesellschaft Küllstedt,Bahnhofstraße 21a,37359,Küllstedt,POINT (51.275288 10.2850576),03607564181,,,,,,,,,,
Bäuerliche AG Breitenworbis,Am Wetterkreuz 1-2,37339,Breitenworbis,,0360747580,,,,,,,,,,
Agrargesellschaft Gossel mbH &amp; Co.KG Tierzucht KG,Plauesche Straße 163,99338,Geratal,POINT (50.7968206 10.8515163),03620756207,,,,,,,,,,
Alboco GmbH,Wilhelm-Bieser-Straße 12,39444,Hecklingen,POINT (51.8449887 11.5396722),039209607990,< 500,,,,,,,,,
Hopfenbetrieb Berthold,Hauptstraße 1a,04617,Monstab,POINT (50.9928023 12.3570182),01624131605, < 50,> 50,< 50,< 50,,,,,> 10,
"Josef Götz, Landwirtschaft",Ried 3,85229,Markt Indersdorf,POINT (48.3431156 11.391639),081367767,< 500,,,,,,,,,
Landwirt Jürgen Baum,Blankenburger Straße 64,06502,Blankenburg ,POINT (51.7713554 11.0072038),0394763607,,,,,,,,,,
Landwirtschaftsbetrieb Frank Luft,Drackenstedter Straße 17,39167,Eichenbarleben,POINT (52.1663668 11.397775565470617),039206-53007,< 500,,,,,,,,,
Obstgut Geier GbR,Eisenberger Straße 7,04626,Schmölln,POINT (50.9495479 12.2773129),034495-79205,,,,,,,< 50,,,
Landwirtschaftsbetrieb Jörn Ahlers,Düngstrup 2,27793,Wildeshausen,POINT (52.8615218 8.400874688686692),0443192426,,,,,,,,,,
Landwirtschaftlicher Betrieb Bernd Reese,Brüggeweg 2,31749,Auetal,POINT (52.2381839 9.2673439),05752439,,,,,,,,,,
Landwirtschaftsbetrieb Satjewitz,Satjewitz 1,23779,Neukirchen,POINT (54.3138835 11.0235632),0170-5615315,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Landwirtschaftsbetrieb Sönke Tüxen,Vogelsangholz 4,24409,Stoltebüll,POINT (54.7112887 9.8886926),046432440,< 500,,< 50,,,,,,,
Ehrenberg/Schaaf GbR,Landgut am Strengbach 1,06188,Landsberg ,POINT (51.550159 12.1378499),,< 2000,,,,,,,,,
Koberland eG Niederalbertsdorf,Glasbergstraße 4,08428,Langenbernsdorf,POINT (50.7639107 12.2902428),036608-209980,,,,,,,,,,
Landwirtschaftsbetrieb Claus Schmoldt,Wechtern 40,21732,Krummendeich,POINT (53.8213094 9.1874342),04753-258,< 500,,,,,,,,,
Agrar GbR Großwechsungen,Hauptstraße 23,99735,Großwechsungen,POINT (51.4883816 10.6895637),03633540334,< 2000,,,,,,,,,
Gutsverwaltung Schönfeld GbR,Mühlenweg 3,19205,Schönfeld,POINT (53.7231104 11.2592954),03887157502,< 2000,,< 50,< 500,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Agrargenossenschaft eG Neu Zauche,Weinbergstraße 7a,15913,Neu Zauche,,035475292,,,,,,,,,,
Agrargenossenschaft Großobringen e.G.,An der B 85,99439,Amt Ettersberg,,03643-420673,< 2000,,,,,,,,,
Landwirtschaftsbetrieb Bohnrade,Bohnrader Weg 7c,23617,Stockelsdorf,POINT (53.8979844 10.6358328),0451-4946346,,,,,,,,,,
Wischmann-Lübbers GbR,Zum Meersahl 2,21385,Amelinghausen,POINT (53.1259383 10.1679754),041327427,< 500,,< 50,< 100,,,,,,
Genossenschaft Agrarland eG Lüttewitz,Leschen 8,04720,Döbeln,POINT (51.1128276 13.226496154046906),034325-20302,< 2000,,< 100,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Landwirtschaftsgenossenschaft e.G. Ottendorf/Krumbach,Burgstädter Straße 97b,09236,Claußnitz,POINT (50.9435038 12.89536703418515),037202-80018,,,,,,,,,,
Agrargenossenschaft Ebersbach eG.,Hauptstraße 82,01561,Ebersbach,POINT (51.2376446 13.6609197),,,,,,,,,,,
Landwirtschaftsbetrieb Jens Diersen,Lüneburger Str. 7,21385,Amelinghausen,POINT (53.13231465 10.220374657814427),04132-479,< 100,,< 50,< 50,,,,,,
Landwirtschaftsbetrieb Gerd Sannecke,Jabel 18,29439,Lüchow,POINT (52.95570575 11.0784994),,,,,,,,,,,
Landwirtschaftsbetrieb Henning Harms,Ziegelhof 1,29472,Damnatz,POINT (53.1283617 11.180838350827484),058651457,,,,,,,,,,
Landwirtschaftsbetrieb Johannes Ehlbeck,Osterehlbeck 17,21385,Rehlingen,POINT (53.0955011 10.1739913),04132221,,,,,,,,,,
